name|dob|dod|summary|content|school_id|tag_id
Socrates|-469-01-01|-399-01-01|Greek philosopher|Socrates was a foundational figure in Western philosophy, known for his method of dialectical questioning, now called the Socratic Method. He emphasized ethics and the pursuit of virtue over material wealth or status. His ideas survive primarily through the writings of his students, especially Plato.|2|1
Plato|-429-01-01|-347-01-01|Student of Socrates|Plato, a student of Socrates, founded the Academy in Athens and wrote dialogues that explored justice, politics, metaphysics, and knowledge. His Theory of Forms argued that abstract entities represent the truest reality, influencing Western philosophy for centuries.|2|1
Aristotle|-384-06-22|-322-06-17|Student of Plato|Aristotle, a student of Plato, founded the Lyceum and contributed to nearly every field of knowledge, including logic, ethics, politics, metaphysics, and biology. His empirical approach and theory of causality laid the groundwork for scientific thinking and Western philosophy.|2|1
Heraclitus|-535-05-20|-475-05-05|Greek philosopher|Heraclitus emphasized the constant change and flux in the universe, encapsulated in his phrase "You cannot step into the same river twice." He believed in the unity of opposites and that fire represented the fundamental substance of reality.|2|1
Pythagoras|-570-05-18|-495-05-26|Greek philosopher|Pythagoras was a mathematician and philosopher best known for the Pythagorean theorem, but he also founded a mystical philosophical movement emphasizing numerical harmony, the soul’s immortality, and ethical living.|2|1
Parmenides|-515-05-20|-445-05-05|Greek philosopher|Parmenides argued that reality is one, unchanging, and indivisible, rejecting the notion of change and multiplicity as illusions. His ideas greatly influenced metaphysical thought and set the stage for the debate between change and permanence in philosophy.|2|1
Zeno of Citium|-334-05-20|-262-05-05|Greek philosopher|Zeno of Citium founded Stoicism, a philosophy emphasizing rationality, virtue, and living in harmony with nature. Stoics believed that happiness comes from accepting what we cannot control and cultivating inner resilience.|3|1
Friedrich Nietzsche|1844-10-15|1900-08-25|German philosopher|Nietzsche was a radical critic of traditional morality, religion, and metaphysics. He introduced concepts such as the Übermensch, the Will to Power, and Eternal Recurrence. His provocative style and critique of herd mentality have profoundly influenced modern thought.|16|4
Immanuel Kant|1724-04-22|1804-02-12|German philosopher|Kant revolutionized philosophy with his critical philosophy, particularly the "Critique of Pure Reason," where he explored how knowledge is structured. He proposed that morality is grounded in the categorical imperative, an objective moral law based on reason.|12|2
John Rawls|1921-02-21|2002-01-24|British philosopher|Rawls was a political philosopher best known for "A Theory of Justice," where he proposed principles of justice based on fairness and equality, formulated under a hypothetical "veil of ignorance." His ideas deeply shaped contemporary liberal political theory.|14|2
Bertrand Russell|1872-05-18|1970-02-02|British philosopher|Russell was a logician, mathematician, and analytic philosopher who co-authored "Principia Mathematica." He championed clarity in philosophy and was an influential figure in logic, epistemology, and social activism for peace and education.|14|2
Gottlob Frege|1848-11-18|1925-07-26|German philosopher|Frege was a pioneer in logic and the philosophy of language. His work on the formalization of logic and the concept of meaning and reference laid the foundation for modern analytic philosophy and influenced thinkers like Russell and Wittgenstein.|14|2
Arthur Schopenhauer|1788-02-22|1860-09-21|German philosopher|Schopenhauer is best known for his pessimistic worldview, arguing that life is driven by a blind, irrational force he called the Will. He influenced later existential and psychoanalytic thought, as well as Nietzsche and Freud.|12|2
David Hume|1711-05-26|1776-08-25|British philosopher|Hume was an empiricist who argued that all knowledge derives from experience. He questioned the rational basis of causality, the self, and religious belief, advocating for skepticism and naturalism.|11|2
John Stuart Mill|1806-05-02|1873-08-02|British philosopher|Mill was a leading utilitarian thinker who argued that the best actions are those that maximize happiness. He was also a strong advocate of liberty, individual rights, and gender equality, shaping liberal political thought.|13|2
John Locke|1632-08-29|1704-10-28|British philosopher|Locke, known as the "Father of Liberalism," emphasized empiricism and the idea that the mind begins as a blank slate (tabula rasa). His political theories on natural rights and government consent strongly influenced modern democracy.|11|2
René Descartes|1596-03-31|1650-02-11|French philosopher|Descartes was a French philosopher, mathematician, and scientist, often called the father of modern philosophy.|10|2
Baruch Spinoza|1632-11-24|1677-02-21|Dutch philosopher|Spinoza was a Dutch philosopher known for his rationalist and monist philosophy.|10|2
G.W.F. Hegel|1770-08-27|1831-11-14|German philosopher|Hegel was a German philosopher who developed absolute idealism and influenced modern continental philosophy.|12|2
Jean-Jacques Rousseau|1712-06-28|1778-07-02|Swiss philosopher|Rousseau was a Genevan philosopher influential in political philosophy and the Enlightenment.|10|2
Thomas Hobbes|1588-04-05|1679-12-04|English philosopher|Hobbes was an English philosopher best known for his political thought and social contract theory.|10|2
Voltaire|1694-11-21|1778-05-30|French philosopher|Voltaire was a French Enlightenment writer and philosopher known for his advocacy of civil liberties.|10|2
Augustine of Hippo|0354-11-13|0430-08-28|Christian philosopher|Augustine was a Christian theologian and philosopher, a foundational figure in Western Christianity and philosophy.|7|3
Thomas Aquinas|1225-01-28|1274-03-07|Italian philosopher|Aquinas was an Italian Dominican friar and philosopher, known for integrating Aristotelian philosophy with Christian theology.|7|3
Epicurus|-341-01-01|-270-01-01|Greek philosopher|Epicurus founded Epicureanism, a philosophy emphasizing the pursuit of pleasure and the avoidance of pain as the highest good. He argued that happiness comes from simple living, friendship, and intellectual contemplation rather than indulgence.|4|1
Diogenes of Sinope|-412-01-01|-323-01-01|Greek philosopher|Diogenes was a founder of Cynicism, advocating for a life of virtue in accordance with nature. He rejected social conventions and material wealth, promoting simplicity and self-sufficiency as paths to freedom.|3|1
Plotinus|204-01-01|270-01-01|Neoplatonic philosopher|Plotinus established Neoplatonism, emphasizing the existence of a single transcendent source, "The One." His ideas profoundly influenced later Christian theology and medieval philosophy.|6|1
Marcus Aurelius|121-04-26|180-03-17|Roman philosopher|Marcus Aurelius was a Roman emperor and Stoic philosopher, known for his work "Meditations," which reflects on virtue, impermanence, and the importance of rational self-control.|3|1
Confucius|-551-09-28|-479-04-11|Chinese philosopher|Confucius was the founder of Confucianism, emphasizing morality, family loyalty, social harmony, and education as the foundation of a stable and ethical society.|27|6
Laozi|-571-01-01|-471-01-01|Chinese philosopher|Laozi is regarded as the founder of Daoism (Taoism). His text, the Tao Te Ching, advocates harmony with the Tao—the natural order of the universe—and simplicity in living.|27|6
Zhuangzi|-369-01-01|-286-01-01|Chinese philosopher|Zhuangzi was a Daoist philosopher who emphasized the relativity of values, skepticism toward rigid doctrines, and the importance of spontaneity in living harmoniously with nature.|27|6
Mencius|-372-01-01|-289-01-01|Chinese philosopher|Mencius was a major Confucian thinker who argued that human nature is inherently good and that virtuous leadership creates a just society.|27|6
Nagarjuna|150-01-01|250-01-01|Indian philosopher|Nagarjuna founded the Madhyamaka school of Mahayana Buddhism. He introduced the concept of emptiness (śūnyatā), arguing that all phenomena lack inherent existence.|27|6
Avicenna|0980-08-23|1037-06-18|Persian philosopher|Avicenna (Ibn Sina) integrated Aristotelian philosophy with Islamic thought, contributing major works in metaphysics, medicine, and logic. His "Book of Healing" and "Canon of Medicine" influenced both Islamic and European intellectual traditions.|8|3
Averroes|1126-04-14|1198-12-10|Muslim philosopher|Averroes (Ibn Rushd) was an influential commentator on Aristotle and a defender of philosophy against religious orthodoxy. His ideas shaped scholastic thought and Western rationalism.|8|3
Francis Bacon|1561-01-22|1626-04-09|English philosopher|Bacon is considered the father of empiricism and the scientific method. He emphasized inductive reasoning and observation as the foundation of knowledge, laying the groundwork for modern science.|11|2
George Berkeley|1685-03-12|1753-01-14|Irish philosopher|Berkeley advanced the theory of immaterialism, claiming that reality consists only of minds and their ideas. He argued that existence depends on perception: "to be is to be perceived."|11|2
Alfred North Whitehead|1861-02-15|1947-12-30|British philosopher|Whitehead developed process philosophy, emphasizing that reality is dynamic and relational. His work in metaphysics, mathematics, and logic shaped 20th-century thought.|15|2
Rudolf Carnap|1891-05-18|1970-09-14|German philosopher|Carnap was a leading figure in logical positivism, advocating for the logical analysis of scientific language and the rejection of metaphysics as meaningless.|19|2
W.V.O. Quine|1908-06-25|2000-12-25|American philosopher|Quine challenged the analytic-synthetic distinction and emphasized the holistic nature of knowledge. His work in logic and language profoundly influenced analytic philosophy.|14|2
Saul Kripke|1940-11-13|2022-09-15|American philosopher|Kripke made groundbreaking contributions to modal logic, metaphysics, and the philosophy of language, introducing concepts like rigid designators and possible worlds semantics.|14|2
G.E.M. Anscombe|1919-03-18|2001-01-05|British philosopher|Anscombe was a central figure in 20th-century ethics and philosophy of mind. Her work "Intention" shaped the modern study of action theory, and she revived virtue ethics in moral philosophy.|14|2
Hannah Arendt|1906-10-14|1975-12-04|German-American philosopher|Arendt wrote extensively on political theory, totalitarianism, and human freedom. Her concept of the "banality of evil" challenged traditional views on moral responsibility.|28|5
Herbert Marcuse|1898-07-19|1979-07-29|German philosopher|Marcuse, associated with the Frankfurt School, criticized advanced industrial society for fostering conformity. He advocated for liberation through critical theory and radical social change.|28|5
Martin Heidegger|1889-09-26|1976-05-26|German philosopher|Heidegger developed existential phenomenology, emphasizing the question of Being. His major work "Being and Time" explores human existence (Dasein), authenticity, and temporality.|17|4
Jean-Paul Sartre|1905-06-21|1980-04-15|French philosopher|Sartre was a leading existentialist thinker who argued that humans are condemned to freedom, with no predetermined essence, and must create their own meaning through choices.|16|4
Simone de Beauvoir|1908-01-09|1986-04-14|French philosopher|De Beauvoir, an existentialist and feminist philosopher, explored the construction of gender in "The Second Sex," arguing that women are made, not born, into their social roles.|16|4
Michel Foucault|1926-10-15|1984-06-25|French philosopher|Foucault analyzed the relationship between power and knowledge, showing how institutions shape human behavior. His studies on prisons, sexuality, and medicine redefined social theory.|21|4
Karl Marx|1818-05-05|1883-03-14|German philosopher|Marx combined philosophy, economics, and political theory, critiquing capitalism and advocating for a classless society. His works laid the foundation for Marxism and modern socialism.|20|5
Ludwig Wittgenstein|1889-04-26|1951-04-29|Austrian philosopher|Wittgenstein revolutionized philosophy of language and logic. His early work emphasized logical structure, while his later philosophy focused on language games and meaning in use.|23|2
